patient_id,admission_date,species,common_name,found_city,found_county,status,final_date
2022-0901,7/28/22,DIVI,Virginia opossum,,Mitchell,R,9/12/22
2022-0902,7/28/22,SYFL,Eastern cottontail,West Jefferson,Ashe,R,8/2/22
2022-0903,7/28/22,DEJU,Dark Eyed Junco,Boone,Watauga,D24,7/29/22
2022-0904,7/28/22,AMCR,American crow,Banner Elk,Avery,D24,7/28/22
2022-0905,7/29/22,CHSP,Chipping sparrow,Lewisville,NA,R,9/5/22
2022-0906,7/29/22,RTHU,Ruby-throated hummingbird,Green Mountain,Yancey,R,8/26/22
2022-0907,7/29/22,MODO,Mourning dove,Statesville,Iredell,D,10/16/22
2022-0908,7/30/22,EATO,Eastern towhee,,NA,E,7/31/22
2022-0909,7/30/22,DIVI,Virginia opossum,Nebo,McDowell,E24,7/30/22
2022-0910,7/30/22,DIVI,Virginia opossum,,NA,E24,7/30/22
2022-0911,7/30/22,DIVI,Virginia opossum,,NA,E24,7/30/22
2022-0912,7/30/22,DIVI,Virginia opossum,,NA,E24,7/30/22
2022-0913,7/30/22,DIVI,Virginia opossum,,NA,E24,7/30/22
2022-0914,7/30/22,DIVI,Virginia opossum,,NA,E24,7/30/22
2022-0915,7/30/22,DIVI,Virginia opossum,,NA,E24,7/30/22
2022-0916,7/30/22,DIVI,Virginia opossum,,NA,E24,7/30/22
2022-0917,7/30/22,DIVI,Virginia opossum,,NA,E24,7/30/22
2022-0918,7/30/22,CHSW,Chimney swift,Asheville,Buncombe,R,8/26/22
2022-0919,7/30/22,NOCA,Northern cardinal,,NA,D,10/29/22
2022-0920,7/30/22,NOCA,Northern cardinal,,NA,R,8/23/22
2022-0921,7/30/22,DIVI,Virginia opossum,Lenoir,Caldwell,R,9/12/22
2022-0922,7/30/22,DIVI,Virginia opossum,Lenoir,Caldwell,R,9/12/22
2022-0923,7/30/22,ODVI,White-tailed deer,Banner Elk,Avery,EOA,7/30/22
2022-0924,7/30/22,RTHU,Ruby-throated hummingbird,Zionville,Watauga,R,8/5/22
2022-0925,7/31/22,DEJU,Dark Eyed Junco,Linville,Avery,E,8/4/22
2022-0926,7/31/22,SWTH,Swainson's thrush,Newland,Avery,D24,8/1/22
2022-0927,8/1/22,SCCA,Eastern gray squirrel,Sherrils Ford,NA,E24,8/1/22
2022-0928,8/1/22,AMRO,American robin,Boone,Watauga,R,8/18/22
2022-0929,8/2/22,MODO,Mourning dove,Lenoir,Caldwell,E,8/18/22
2022-0930,8/2/22,TECA,Eastern box turtle,Drexel,NA,R,9/23/22
2022-0931,8/2/22,ODVI,White-tailed deer,,NA,T,8/3/22
2022-0932,8/3/22,NOCA,Northern cardinal,,NA,D,8/4/22
2022-0933,8/3/22,PELE,White-footed mouse,Elk Park,Avery,EOA,8/3/22
2022-0934,8/3/22,TAST,Eastern chipmunk,,NA,D,8/6/22
